term,anchor,notes
DjangoType,djangotype,The model-backed type the connection field wraps.
Meta.primary,metaprimary,"Multi-DjangoType-per-model rule; a connection field may wrap a secondary type, and the relation-as-Connection upgrade (DONE-032-0.0.9) must choose the primary."
SyncMisuseError,syncmisuseerror,The typed marker the shared visibility helpers in django_strawberry_framework/utils/querysets.py raise when a sync resolver context meets an async get_queryset; the connection field inherits the contract (Decision 10).
strawberry_config,strawberry_config,The scalar-map factory every example schema passes to strawberry.Schema alongside the singleton-factory optimizer extension.
Definition-order independence,definition-order-independence,The finalize-time type-collection model behind the no-auto-finalize posture and the existing finalize_django_types synchronization contract.
Meta.model,metamodel,The baseline DjangoType model binding shown in every connection-field example.
Meta.fields,metafields,The baseline DjangoType field-selection key shown in the connection-field example and used to frame the new Meta.connection key.
Meta.exclude,metaexclude,The sibling baseline field-selection key in ALLOWED_META_KEYS that helps orient the new Meta.connection validation work.
Meta.name,metaname,The shipped GraphQL type-name override that implementers must consider when deriving stable concrete connection class names.
Meta.description,metadescription,The shipped GraphQL type-description key in the baseline Meta surface that the new Meta.connection key joins.
Meta.nullable_overrides,metanullable_overrides,The shipped 0.0.9 baseline Meta key in ALLOWED_META_KEYS that frames Meta.connection as another direct key rather than deferred promotion.
Meta.required_overrides,metarequired_overrides,The companion 0.0.9 baseline Meta key in ALLOWED_META_KEYS that frames Meta.connection as another direct key rather than deferred promotion.
Relation handling,relation-handling,"The relation-field behavior a connection field composes beside; the relation-as-Connection upgrade over it, and the Meta.relation_shapes opt-out governing which relations take it, are DONE-032-0.0.9's surface, not this card's."
Meta.search_fields,metasearch_fields,0.1.2 surface; the search: connection argument is absent in 0.0.9 (out of scope).
FieldSet,fieldset,0.1.1 Layer-3 sidecar; field-selection composition layers on after the connection field (out of scope).
Meta.fields_class,metafields_class,0.1.1 key wiring FieldSet; out of scope.
AggregateSet,aggregateset,0.1.3 Layer-3 sidecar; the aggregates connection argument (out of scope).
Meta.aggregate_class,metaaggregate_class,0.1.3 key; out of scope.
RelatedAggregate,relatedaggregate,0.1.3 aggregate-relation symbol appearing in the reference-package parity checkpoint table.
apply_cascade_permissions,apply_cascade_permissions,The cascade visibility helper shipped in 0.0.10; the connection field respects get_queryset immediately and composes with the cascade unchanged. Out of scope for this card.
Multi-database cooperation,multi-database-cooperation,The .using(alias) _db-preservation contract the connection field's queryset flows through unchanged.
OptimizerHint,optimizerhint,"Per-relation override on the wrapped type; unchanged by the connection field, which plans against the root queryset."
Meta.optimizer_hints,metaoptimizer_hints,The Meta key carrying OptimizerHint values; unchanged by the connection field.
Cross-subsystem invariants,cross-subsystem-invariants,The 1.0.0 rule that every Layer-3 argument composes with the optimizer; this card is the field that composition runs through.
